Unnamed: 0,Şehir,Parti,Meslek,Doğum Yeri,Doğum Yılı
Arzu ERDEM,İstanbul,MHP,yönetici,yurt dışı,1970
Aykut ERDOĞDU,İstanbul,CHP,yönetici,Kars,1972
Aziz BABUŞCU,İstanbul,AK Parti,mali müşavir,Trabzon,1964
Canan KALSIN,İstanbul,AK Parti,iş insanı,Elazığ,1967
Celal ADAN,İstanbul,MHP,mühendis,Ağrı,1951
Cemal ÇETİN,İstanbul,MHP,mühendis,Kayseri,1963
Dilşat CANBAZ KAYA,İstanbul,HDP,işçi,Ankara,1973
Edip Semih YALÇIN,İstanbul,MHP,öğretmen,Sivas,1958
Emine Gülizar EMECAN,İstanbul,CHP,mühendis,Antalya,1968
Emine Sare AYDIN,İstanbul,AK Parti,akademisyen,zonguldak,1975
Engin ALTAY,İstanbul,CHP,eğitimci,Sinop,1963
Erdoğan TOPRAK,İstanbul,CHP,iş adamı,Adana,1961
Erkan BAŞ,İstanbul,TİP,tarihçi,yurt dışı,1979
Erkan KANDEMİR,İstanbul,AK Parti,mühendis,İstanbul,1981
Erol KATIRCIOĞLU,İstanbul,HDP,öğretim üyesi,İstanbul,1951
Erol KAYA,İstanbul,AK Parti,kamu yönetimi,Sakarya,1959
Eyüp ÖZSOY,İstanbul,AK Parti,mimar,İstanbul,1983
Fatih Mehmet ŞEKER,İstanbul,BAĞIMSIZ,öğretim üyesi,Mersin,1975
Fatih Süleyman DENİZOLGUN,İstanbul,AK Parti,mühendis,İstanbul,1987
Fatma Betül SAYAN KAYA,İstanbul,AK Parti,mühendis,istanbul,1981
Fethi AÇIKEL,İstanbul,CHP,öğretim üyesi,Antakya,1970
Feti YILDIZ,İstanbul,MHP,avukat,Yozgat,1953
Gamze AKKUŞ İLGEZDİ,İstanbul,CHP,diş hekimi,İstanbul,1969
Gökan ZEYBEK,İstanbul,CHP,mimar,Bayburt,1964
Gürsel TEKİN,İstanbul,CHP,bürokrat,Ardahan,1964
Hakkı Saruhan OLUÇ,İstanbul,HDP,mühendis,İstanbul,1958
Halis DALKILIÇ,İstanbul,AK Parti,iktisatçı,Malatya,1968
Hasan TURAN,İstanbul,AK Parti,organizatör,Giresun,1967
Hayati ARKAZ,İstanbul,MHP,doktor,Sivas,1957
Hayrettin NUHOĞLU,İstanbul,İYİ Parti,mühendis,Trabzon,1953
Hulusi ŞENTÜRK,İstanbul,AK Parti,mühendis,İstanbul,1963
Hüda KAYA,İstanbul,HDP,yönetici,İstanbul,1968
İbrahim Özden KABOĞLU,İstanbul,CHP,hukuçu,Artvin,1950
İffet POLAT,İstanbul,AK Parti,yönetici,İstanbul,1968
İlhan KESİCİ,İstanbul,CHP,mühendis,Sivas,1948
İsmail Faruk AKSU,İstanbul,MHP,iktisatçı,Ordu,1963
İzzet Ulvi YÖNTER,İstanbul,MHP,kamu görevlisi,Afyonkarahisar,1976
Kadri Enis BERBEROĞLU,İstanbul,CHP,gazeteci,İstanbul,1956
Mahmut TANAL,İstanbul,CHP,avukat,Şanlıurfa,1961
Mehmet BEKAROĞLU,İstanbul,CHP,öğretim üyesi,Rİze,1954
Mehmet Akif HAMZAÇEBİ,İstanbul,CHP,bürokrat,Trabzon,1954
Mehmet Doğan KUBAT,İstanbul,AK Parti,avukat,Ankara,1969
Memet Bülent KARATAŞ,İstanbul,MHP,iş adamı,Kars,1972
Mihrimah Belma SATIR,İstanbul,AK Parti,avukat,Erzurum,1961
Musa PİROĞLU,İstanbul,HDP,öğretmen,Kırşehir,1968
Mustafa ATAŞ,İstanbul,AK Parti,yönetici,Tunceli,1957
Mustafa DEMİR,İstanbul,AK Parti,bürokrat,Diyarbakır,1959
Mustafa YENEROĞLU,İstanbul,DEVA,bürokrat,Bayburt,1975
Mustafa Sezgin TANRIKULU,İstanbul,CHP,avukat,Diyarbakır,1963
Müşerref Pervin Tuba DURGUT,İstanbul,AK Parti,eczacı,Rİze,1973
Nazır Cihangir İSLAM,İstanbul,CHP,doktor,Sakarya,1959
Nevzat ŞATIROĞLU,İstanbul,AK Parti,mühendis,İstanbul,1967
Numan KURTULMUŞ,İstanbul,AK Parti,akademisyen,Ordu,1959
Nurettin CANİKLİ,İstanbul,AK Parti,mali müşavir,Giresun,1960
Oğuz Kaan SALICI,İstanbul,CHP,akademisyen,Gaziantep,1972
Onursal ADIGÜZEL,İstanbul,CHP,mühendis,Malatya,1985
Osman BOYRAZ,İstanbul,AK Parti,mühendis,Sivas,1974
Oya ERSOY,İstanbul,HDP,avukat,Erzincan,1970
Özgür KARABAT,İstanbul,CHP,müşavir,Tokat,1974
Pervin BULDAN,İstanbul,HDP,yönetici,Hakkari,1967
Ravza KAVAKCI KAN,İstanbul,AK Parti,mühendis,İstanbul,1972
Rümeysa KADAK,İstanbul,AK Parti,öğretmen,İstanbul,1996
Saliha Sera KADIGİL SÜTLÜ,İstanbul,TİP,avukat,İstanbul,1984
Serap YAŞAR,İstanbul,AK Parti,avukat,Malatya,1965
Serkan BAYRAM,İstanbul,AK Parti,avukat,Erzincan,1974
Sibel ÖZDEMİR,İstanbul,CHP,akademisyen,İstanbul,1979
Şamil AYRIM,İstanbul,AK Parti,mühendis,Iğdır,1950
